Reporter,Name
1UR3_01,PP01
2UR3_02,BV02
3UR3_03,BV03
4UR3_04,BV04
5UR3_05,BV05
7UR3_07,BV07
8UR3_08,BV08
1UR3_11,PP10
2UR3_13,BV11
3UR3_15,BV12
4UR3_16,BV13
5UR3_18,BV14
6UR3_20,BV15
1UR3_09,BV16
2UR3_12,BV17
3UR3_14,BV18
4UR3_17,BV19
5UR3_19,BV20
