Reporter,Name
7UR3_07,PP06
4UR3_17,PP12
5UR3_19,PP13
6UR3_06,PP06
3UR3_15,PP12
4UR3_16,PP13
6U-R3_06,PP06
3U-R3_15,PP12
4U-R3_16,PP13
