Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20
Bac Con,CB1,-0.5580793292932006,-0.6864105775046409,1.054521662250673,0.6325777704842669,-0.553453381883792,-0.9507638591632216,0.30187290867537775,1.3249714170180233,0.5237710695427622,-0.8566307732322537,1.401219447393908,2.835890485905242,0.3359624300902064,-0.7830734625192908,-0.8354095544662403,-0.9593034295604252,-0.6323295855467439,-0.555674530872705,-0.3764275801034973,-0.6632311272144511
Bac Con,CB10,-0.6890335130391418,-0.6841710237616926,0.8928713266786286,0.32240263740550146,-0.7512721059776252,-1.1582024120217163,0.9828010687424465,1.361423581497247,0.39119007763616553,-0.8540377857170924,1.5907838907990457,2.2154574908938365,1.1600847050314893,-0.8637063883102918,-0.9944866580689583,-0.8590096015652412,-0.8079860998856873,-0.5005208604888239,-0.15062364324544222,-0.6039646866026478
Bac Con,CB11,-0.5827033905281301,-0.4578548820683713,0.8952410475545503,0.311070408342241,-0.7048389259912101,-1.032151627242399,0.7316634966903999,1.1486529391307267,0.348461437999078,-0.7594264672613316,1.2807433570494675,3.0450722832522192,0.42507264303065084,-0.5151147310452108,-0.9544737345412451,-0.9096939607630999,-0.6625595489658198,-0.5826862648955617,-0.37633901919601076,-0.6481350605509335
Bac Con,CB12,-0.48807017578887973,-0.6149408941984593,1.196505843205278,0.28233202502315397,-0.7543100332771668,-1.0495409188458469,0.21454466630957802,1.2735164370218925,0.7577099802791503,-0.7718659396836,1.4386995209767666,2.6322221091072637,0.731400540702767,-0.6247808327238816,-0.8495191272913465,-1.0744831125133727,-0.6672374826049825,-0.8355120958012222,-0.17092538812694477,-0.625745121770157
Bac Con,CB13,-0.5289370177883443,-0.6412963191245555,1.635723354406299,0.627474221941015,-0.6025994443328411,-1.0573067323724477,-0.012222262992490126,0.9677329733382588,0.7039510225656347,-0.7585777906640633,0.9652716627871922,2.822413965824559,0.6072066096911685,-0.6148749601154255,-0.908684868526625,-0.8366911564068193,-0.7853738282512359,-0.7319200969043568,-0.24424004806957345,-0.6070492850053439
Bac Con,CB14,-0.46505680673226524,-0.6436417102262401,1.3104369145659183,0.3466557814638991,-0.6234212199317748,-1.125958158681201,0.27276329029400975,1.3227807804271638,0.9327238510577667,-0.7757065694934107,0.8914250407470787,2.688497422216096,0.8231337057921653,-0.6771568098326793,-0.9412271758823941,-0.8636766506752697,-0.9012764232924985,-0.63810463056674,-0.20749992933573203,-0.72569070191389
Bac Con,CB15,-0.49927574644000344,-0.45776244131898647,1.118430895263715,0.18999734742352378,-0.5043934425179389,-0.952704987210652,-0.10637509517514414,1.787212739363851,0.41807545276165375,-0.7752138711657122,1.6104234196956673,2.714916690149965,-0.0677989149130512,-0.6663556250743772,-1.0546449397473971,-0.7723849665765954,-0.5610743060364837,-0.5006733588197301,-0.45071313281870057,-0.469685716843606
Bac Con,CB2,-0.5140573899283942,-0.7052956689742116,0.839304499062168,0.3636978351317873,-0.732942492672805,-1.1126701291455414,0.5265305532854457,1.3657387923975692,0.7414625247763204,-0.8174481151023848,1.1311553292994616,2.7852697255685905,0.8370588761541325,-0.7157073593725664,-0.7771075366517675,-0.9964824377083186,-0.8222424730236546,-0.5680052005070091,-0.21772034402537271,-0.6105389885634478
Bac Con,CB3,-0.6643051136261782,-0.6213627559358778,1.3550410654691931,0.5166104846095035,-0.7691035366474215,-1.1149149535951908,0.06759562683584282,1.3153175920969689,0.4368427747455473,-0.6727251643144635,1.1444113331108854,2.814670944419896,0.6884844861396106,-0.7409888300305163,-0.8010373904037329,-0.8772886376754965,-0.7624490336034248,-0.5472060109695817,-0.2965476961862023,-0.47104518443935894
Bac Con,CB4,-0.5981212066128683,-0.6145421488860006,1.2113626897378509,0.3997895345382673,-0.6252623230245604,-1.0968558214380089,0.43267439621894294,1.2399206523116586,0.47373617003256396,-0.6861618526934558,1.4795391740764041,2.7201244326327525,0.5642151011196407,-0.7599284154962648,-0.8833482133742215,-0.9086695354298804,-0.7355005455721797,-0.6443779255794696,-0.251639599096523,-0.716954563464642
