Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,Mean norm of mean norm ,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CII1,0.488981678,0.310180913,2.146203448,1.35928635,0.524754963,0.230073023,1.205816264,2.123589399,1.490387332,0.540536178,1.504712529,2.796461478,1.785507428,0.504705194,0.921781979,0.259511266,0.454953009,0.46286496,0.448603638,0.441088972,,Fold change vs. controls ,,,,,,,,,,,,,,,,,,,,,,FC of (mean mean norm),,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
Control,CII10,0.502022725,0.703605551,2.286423876,1.292365526,0.574534893,0.145866259,0.829829456,2.164286744,1.090067298,0.540890536,1.516854108,2.563830193,1.796708875,0.554988171,0.728166606,0.709358687,0.439794741,0.558481025,0.481804907,0.520119823,,,,,,,,,,,,,,,,,,,,,,,,,,,Controls ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Control,CII2,0.395471971,0.379719107,2.247710341,1.067780392,0.91304288,0,0.921927964,1.741274783,1.745153139,0.400265496,1.269297058,2.981319188,2.505364002,0.581983545,0.702875905,0.322993749,0.355770653,0.440932596,0.475786576,0.551330655,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,,,,HI ,1.13946522,1.139208732,1.056229566,1.326973782,1.214069777,0.875297282,1.021912933,0.775604113,0.916852866,1.086554695,1.028838934,0.693487576,1.000245468,0.878978322,1.022042997,1.083470981,1.070118025,1.011627888,1.489073735,1.331977318
Control,CII3,0.530028136,0.407806791,2.168386828,1.114109439,0.889583776,0.228191495,0.935834453,1.823567375,1.677032405,0.329603409,1.474445636,2.459734505,2.179629594,0.555058399,0.830355401,0.328093814,0.415654989,0.524380599,0.598151714,0.530351244,,Controls ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,KP,1.070023094,0.865464625,1.337048792,1.24547217,1.051884656,0.783755387,0.87035283,0.684502943,0.764543089,0.794974422,1.03513208,0.906801611,1.046656153,0.706820835,1.186360011,1.292534127,0.900782211,0.786702879,1.184392736,1.343394418
Control,CII4,0.493991621,0.411857712,2.50244814,1.360756043,0.539301085,0.174710178,1.424567416,1.800929727,1.670805911,0.3802978,1.531485592,2.32119775,2.091908879,0.461641112,0.618066615,0.307551635,0.350043784,0.614687938,0.432201465,0.511549595,,HI ,1.13946522,1.139208732,1.056229566,1.326973782,1.214069777,0.875297282,1.021912933,0.775604113,0.916852866,1.086554695,1.028838934,0.693487576,1.000245468,0.878978322,1.022042997,1.083470981,1.070118025,1.011627888,1.489073735,1.331977318,,,,,PA01,1.046023802,1.303798436,0.508825409,0.78739637,1.115588875,0.96782908,1.622870803,0.470874803,0.643828815,0.926511362,0.768763017,0.720896857,1.521021297,0.736171136,0.88490747,1.14170608,0.895345201,1.550628612,2.628254155,2.848324869
Control,CII5,0.549576604,0.408103629,2.209172184,1.648362644,0.696946034,0.625389379,1.020360476,2.42272205,1.043037866,0.392756264,1.317780077,2.06758069,1.901392569,0.777780699,0.673401176,0.272092112,0.486389,0.564009601,0.475392596,0.447754351,,KP,1.070023094,0.865464625,1.337048792,1.24547217,1.051884656,0.783755387,0.87035283,0.684502943,0.764543089,0.794974422,1.03513208,0.906801611,1.046656153,0.706820835,1.186360011,1.292534127,0.900782211,0.786702879,1.184392736,1.343394418,,,,,PA14,1.455939633,1.87816603,0.676446462,0.849531446,1.183777744,1.192425401,0.953578325,0.485237335,0.639795956,0.897639169,0.640822585,0.655640954,1.356569963,0.676085436,0.931504017,1.217702918,1.135563078,1.764318668,3.305387921,2.776251574
Control,CII6,0.428384949,0.51043228,2.458821191,1.073927322,0.621652311,0.217193607,1.30663557,1.488560903,1.485168973,0.326409744,1.355054477,3.080049488,2.064801332,0.552144869,0.622561817,0.361727852,0.402174773,0.467906795,0.575715768,0.600675978,,PA01,1.046023802,1.303798436,0.508825409,0.78739637,1.115588875,0.96782908,1.622870803,0.470874803,0.643828815,0.926511362,0.768763017,0.720896857,1.521021297,0.736171136,0.88490747,1.14170608,0.895345201,1.550628612,2.628254155,2.848324869,,,,,PR8,1.095965276,1.231396822,1.023885528,1.239661976,1.158983759,1.217024303,1.203813163,0.565425017,0.729390314,1.015431767,0.919953747,0.468612303,1.198264155,0.79578071,1.021787037,1.08512088,1.039300048,1.51601352,2.092009604,2.067641435
Control,CII7,0.458331213,0.391536539,2.60118934,1.470441898,0.492637252,0.21510437,0.886153263,1.721393402,1.403005497,0.36283135,1.901459807,2.622969147,1.900755095,0.543549603,0.733667281,0.203785592,0.421123944,0.430049605,0.662458497,0.577557305,,PA14,1.455939633,1.87816603,0.676446462,0.849531446,1.183777744,1.192425401,0.953578325,0.485237335,0.639795956,0.897639169,0.640822585,0.655640954,1.356569963,0.676085436,0.931504017,1.217702918,1.135563078,1.764318668,3.305387921,2.776251574,,,,,PVM,0.899764967,0.938235143,1.094927775,1.375283793,0.842241065,0.779689487,2.354476901,0.524028057,0.789433504,0.833856724,1.022343196,0.451754788,1.267245979,0.61859821,0.774413591,0.828929311,0.783375584,1.033555876,1.358260591,1.432358106
Control,CII8,0.445274337,0.367035332,2.527216281,1.428987212,0.675737125,0.190937454,0.847886473,1.944002537,1.626478405,0.320816063,1.704772552,2.695525461,1.941289684,0.596887541,0.558600932,0.252696366,0.368609898,0.454664548,0.564424112,0.488157687,,PR8,1.095965276,1.231396822,1.023885528,1.239661976,1.158983759,1.217024303,1.203813163,0.565425017,0.729390314,1.015431767,0.919953747,0.468612303,1.198264155,0.79578071,1.021787037,1.08512088,1.039300048,1.51601352,2.092009604,2.067641435,,,,,SA,1.040524451,1.389073477,0.720463462,1.135744274,1.153955662,0.867212314,1.203718572,0.645538359,0.826124117,1.155683692,0.853046768,0.57055834,1.311809594,0.808988916,0.788679667,1.034287367,1.036718447,1.480208506,2.245080444,2.53882734
Control,CII9,0.552447557,0.378611106,2.321100493,1.308596164,0.76934119,0.276673856,0.987300831,1.726921448,1.401942346,0.387434085,1.591723133,2.411385972,1.97335724,0.527853588,0.756261301,0.331278432,0.439010395,0.549499184,0.623029765,0.686231913,,PVM,0.899764967,0.938235143,1.094927775,1.375283793,0.842241065,0.779689487,2.354476901,0.524028057,0.789433504,0.833856724,1.022343196,0.451754788,1.267245979,0.61859821,0.774413591,0.828929311,0.783375584,1.033555876,1.358260591,1.432358106,,,,,SP,0.875383774,0.952279041,1.651165896,1.993120597,1.115663923,0.809358105,0.765818111,0.649667585,0.907234982,0.94910123,0.957063036,0.563944096,0.929916921,0.687756304,0.739106837,0.717965786,0.749795873,0.896044872,1.2021992,1.417335225
