Sample Type,Sample ID,1UR3_01,2UR3_02,3UR3_03,4UR3_04,5UR3_05,6UR3_06,7UR3_07,8UR3_08,1UR3_09,9UR3_10,1UR3_11,2UR3_12,2UR3_13,3UR3_14,3UR3_15,4UR3_16,4UR3_17,5UR3_18,5UR3_19,6UR3_20,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20,,Mean norm of mean norm ,,,,BV01,BV02,BV03,BV04,BV05,BV06,BV07,BV08,BV09,BV10,BV11,BV12,BV13,BV14,BV15,BV16,BV17,BV18,BV19,BV20
KP,KP10,0.561236465,0.318724037,2.555028194,1.629175966,0.564768955,0.194861872,1.107575362,1.426488041,1.243031696,0.340456106,1.796000456,2.359375863,2.175731831,0.490513305,0.776204579,0.312538651,0.388235923,0.51319094,0.546394007,0.700467753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP2,0.453401677,0.286617919,3.100451436,1.654904833,0.551713382,0.195668919,1.2031986,1.189587987,1.14341399,0.310384239,1.563597625,2.689032551,2.211865521,0.277387759,0.79405128,0.478061219,0.297276319,0.317593079,0.592644463,0.689147202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP3,0.50957106,0.325035838,3.039464415,1.73995025,0.573389978,0.186804419,1.058934322,1.460740853,1.121306904,0.321136107,1.579329915,1.667043296,2.711050479,0.352324778,0.741763175,0.403244316,0.3709489,0.399857973,0.700876486,0.737226534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP4,0.439189928,0.255656509,3.367405606,1.452146877,0.684656307,0.131916418,1.354396444,1.290780791,1.027782465,0.19741275,1.518878181,2.53040056,2.511555503,0.331210046,0.968220173,0.440183662,0.327411499,0.248440786,0.43709065,0.485264844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP5,0.358996433,0.334861719,2.537533133,1.309681496,0.699180265,0.293423232,1.276463018,1.193235389,1.029688949,0.268507827,2.113245517,2.740158716,2.223117897,0.312478743,0.94228285,0.404121188,0.289910208,0.286494406,0.645133828,0.741485188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP6,0.417085024,0.396037865,2.982261399,1.372732894,0.556110911,0.194384939,0.992307967,1.349271962,1.137667103,0.327331026,1.767156701,2.396832988,2.077288366,0.429648626,0.936981351,0.336961801,0.368729738,0.505069699,0.728178181,0.72796146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP7,0.500612079,0.299919437,3.511801584,1.847060264,0.757324257,0.180234175,0.847112122,1.086639376,1.169470008,0.334762035,1.62754506,2.534179006,1.783939167,0.368320917,0.786236007,0.371066957,0.423337542,0.365722719,0.601605579,0.603111709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP8,0.54161054,0.259998331,3.333369535,1.467096636,0.627007705,0.149752805,0.830653346,1.112295366,1.175929751,0.277785722,1.681140051,2.298957073,2.349444821,0.467352946,0.864580749,0.520533589,0.398522595,0.346157356,0.592705427,0.705105656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KP,KP9,0.661243873,0.530835674,3.473348433,1.75671273,0.840307208,0.168733261,0.883000014,1.105317297,1.104224785,0.240602801,1.594153254,2.063969388,1.986917812,0.282802704,0.899928047,0.449249145,0.397040154,0.392314542,0.519717975,0.649580904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA01,0.408625221,0.44808408,0.995478276,0.910444581,0.787551904,0.223422481,2.302301689,0.882209842,1.005065924,0.327388047,1.307661273,1.559875897,3.156299164,0.318425422,0.710222925,0.419092652,0.324258606,0.916585363,1.529122759,1.467883893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA02,0.506812291,0.512021542,0.978612171,1.186530516,0.756938099,0.276811878,1.733310974,0.821035641,1.08616687,0.395151507,1.381545858,1.782262401,3.169839576,0.369015386,0.642969115,0.335557137,0.409556425,0.839196545,1.255185814,1.561480256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA03,0.441746013,0.62768431,1.277677147,0.972740011,0.611764231,0.239197609,2.148492451,1.019374008,0.960310511,0.296640025,1.223056657,1.798327977,3.105340021,0.358224591,0.637093273,0.308387982,0.298449777,0.707964733,1.294809363,1.67271931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA04,0.473055963,0.558593004,1.124321119,0.997761066,0.615394526,0.185105881,2.010748158,0.768851859,0.971434482,0.332470135,1.127518843,2.040557581,2.986316832,0.479142335,0.694820348,0.321463325,0.367009013,0.676141084,1.501389308,1.767905139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA05,0.709220982,0.619920638,1.807416609,1.304939925,0.953956609,0.280661281,1.616557758,1.019817641,0.888449588,0.379164274,1.147588185,1.77099274,3.026774762,0.356782379,0.602131868,0.393365756,0.316988158,0.700557723,1.151087728,0.953625393,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA06,0.492614467,0.430601859,1.081081004,0.9463223,0.69802442,0.312056307,1.656415605,0.742150972,0.840033938,0.307973163,1.073724064,2.388618644,3.2785287,0.507194195,0.521621429,0.400255996,0.341184053,0.734355582,1.567295864,1.67994744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA07,0.547213371,0.469923606,0.996095586,0.922860865,0.671281852,0.260509173,1.85269404,0.755479061,0.758753526,0.389082073,1.285972819,2.185074229,3.243316334,0.464543729,0.643357072,0.380248545,0.425915506,0.84327071,1.506348675,1.398059225,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA01,PA08,0.426892204,0.377853796,0.986524343,0.709425433,0.560627209,0.197028619,2.402953322,0.800988143,1.076587291,0.377843761,1.27716864,1.31908777,4.23150413,0.315800851,0.517797991,0.382232471,0.324856724,0.808132707,1.401180424,1.50551417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,PA141,0.629591625,0.574310585,1.017151332,0.852269985,0.505381846,0.323472032,1.47550784,0.87497848,0.935946248,0.314063804,0.897787469,1.943751712,3.140650992,0.392724485,0.657928551,0.388316423,0.494021218,0.913638787,2.070527275,1.597979312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,PA143,0.784006424,0.880127058,1.841421431,1.096204008,0.90780962,0.264013029,0.856181313,0.926693707,0.980424727,0.367089506,1.076369725,1.44947989,2.746095146,0.253445078,0.601836699,0.364779624,0.4908718,0.817556769,1.765254785,1.53033966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,PA144,0.557607787,0.647638464,1.240333925,0.99770981,0.714928114,0.306407316,1.253361489,0.937356468,0.90538745,0.37583523,1.103558483,1.749561234,2.876969845,0.469827626,0.722809846,0.352909928,0.475925737,1.027281693,1.718113213,1.566476342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PA14,PA148,0.816855476,0.811175549,2.047838187,1.343044449,0.872493446,0.322641438,1.034406422,0.769782163,0.947881273,0.302151766,1.016909316,1.607726968,2.918997063,0.33923637,0.633284856,0.462165541,0.320007774,0.783637432,1.492905171,1.156859341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR81,0.40719085,0.477590517,1.89714232,1.287374128,0.50954692,0.274602673,1.542590167,1.074036645,0.950065646,0.306875526,1.522818894,0.950065646,3.295182855,0.450259817,0.745470788,0.28382691,0.449985811,0.89916041,1.368958169,1.307255307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR810,0.688052252,0.434346955,2.570083224,1.597837216,0.874411397,0.311422476,1.024385738,0.865878319,1.297834306,0.365982331,1.616125751,1.297834306,2.248910937,0.405130559,0.594036041,0.410913465,0.348933211,0.744445,1.1444148,1.159021714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR83,0.475443346,0.425393074,2.220405935,1.617420768,0.618011618,0.285157069,1.747762928,1.047994544,1.044047344,0.345905505,1.407283279,1.044047344,2.816440688,0.399054024,0.59330728,0.307823874,0.420083327,0.840431096,1.207464021,1.136522938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR84,0.528930898,0.448531819,2.210661491,1.462257837,0.686246774,0.204860892,1.403053427,1.077864546,1.10122751,0.313241998,1.289784624,2.155901364,2.548081216,0.382982705,0.723112935,0.362636296,0.341280944,0.673940574,1.020207006,1.065195142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR85,0.560712812,0.515907668,2.291142184,1.328064667,0.65733514,0.30738249,1.634217952,1.13440595,0.902290031,0.409589581,1.342070445,0.902290031,2.712314458,0.488222472,0.753204192,0.351955262,0.462466497,0.775435715,1.304568848,1.166423605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR86,0.471426019,0.473045536,2.032613819,1.514052562,0.767092885,0.322441456,1.837934963,1.13928743,1.099625069,0.462139429,1.427773397,1.099625069,2.382784829,0.469096501,0.742950768,0.360881895,0.435334992,0.791272445,1.064411649,1.106209288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR87,0.453769304,0.385868127,2.696256616,1.748546408,0.700315576,0.232137836,1.142203232,0.853271833,1.121637001,0.31955092,1.589593019,1.121637001,2.785814655,0.413170846,0.604931825,0.287749176,0.421399754,0.795267227,1.037491756,1.289387886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PR8,PR89,0.611926548,0.659392668,2.689414243,1.962389564,1.062571277,0.545255223,1.331210704,0.984576329,1.07832174,0.551701386,1.560895299,1.07832174,1.849252972,0.417824063,0.981773642,0.429074869,0.380242964,0.567262778,0.772449912,0.486142083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM10,0.355947462,0.307558949,2.596092994,1.958671373,0.561647107,0.178112676,2.923959032,0.898731363,1.322784274,0.281132191,1.321999052,1.322784274,2.614898165,0.322171644,0.434818265,0.287015623,0.34220329,0.454871136,0.69729342,0.81730771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM2,0.391023406,0.39564204,3.762803627,2.320210696,0.467627235,0.159886264,1.791325011,0.85140458,1.123630858,0.244028619,1.643531894,1.123630858,2.321098155,0.333089008,0.452512461,0.19031268,0.251245263,0.425231014,0.900788091,0.850978241,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM3,0.317806669,0.248368824,2.970093536,1.877997738,0.422768181,0.153646274,3.628859075,0.857265745,1.134854082,0.250297302,1.633379714,1.134854082,2.954779558,0.296961539,0.374256592,0.170545613,0.186830787,0.300456722,0.571035555,0.514942412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM4,0.433509824,0.349612793,2.308490971,1.403956763,0.737169496,0.191816276,2.776258472,1.001054004,1.228345667,0.355476581,1.947525822,1.228345667,2.482838792,0.391672716,0.556802425,0.18680209,0.324194259,0.576057245,0.774283569,0.74578657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM5,0.473093344,0.339244588,3.439802623,2.043144835,0.503885555,0.170592393,3.675907926,0.960710275,1.12424243,0.388704209,1.451512341,1.12424243,2.004748278,0.32604803,0.371235205,0.161403478,0.190824328,0.308809123,0.513810024,0.428038586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM6,0.517490677,0.41799303,1.525804558,1.408265556,0.590317962,0.316764246,2.266504787,1.152257959,1.13587588,0.402831426,1.48339287,1.13587588,2.923373331,0.345359083,0.838701345,0.534045121,0.452666803,0.769541306,0.851027236,0.931910944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM7,0.44489801,0.406719208,2.498017143,1.729511649,0.477293341,0.138265813,3.18899015,0.839461882,1.143207605,0.233671982,1.77200133,1.143207605,2.607301316,0.294749128,0.513860656,0.275749765,0.293798941,0.554150934,0.656074223,0.789069319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM8,0.570696956,0.353827611,2.16598036,1.655364841,0.548455683,0.238362465,2.553490118,1.171617927,1.339436628,0.335832793,1.636845372,1.339436628,2.65704296,0.344111242,0.643683579,0.251440247,0.356083553,0.494347981,0.611993866,0.731949192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PVM,PVM9,0.372308232,0.455481988,1.119081704,1.226240211,0.494346005,0.242323342,2.857947252,0.793446673,0.913036841,0.348797366,1.807720539,0.913036841,3.98920296,0.341703017,0.707242431,0.344570486,0.366311028,0.785300102,0.939005085,0.982897898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA1,0.386833059,0.605888268,1.588519441,1.340061631,0.596282775,0.189956733,1.777295493,1.373604172,1.137651305,0.37943519,1.257017416,1.373828479,2.792478739,0.317391672,0.554398219,0.499749228,0.424527295,0.671655249,1.343640668,1.38978497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA10,0.522265239,0.519751009,1.149173308,1.405672754,0.60731464,0.243623738,1.479011179,1.085515453,1.138758349,0.431231142,1.150763868,1.199261865,3.067035185,0.410724764,0.710897504,0.236872553,0.427038906,1.052266491,1.451717764,1.71110429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA2,0.594290264,0.584742263,1.591336933,1.279314107,0.60736528,0.193307049,1.872288664,0.988983247,1.241036519,0.421708475,1.361426676,1.241036519,2.979009598,0.516426214,0.552929365,0.363897516,0.371966936,0.670867517,1.268176438,1.299890418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA3,0.538890579,0.574266679,1.661536154,1.27499923,0.735608005,0.154845731,1.664664453,1.094412203,1.057689672,0.431880218,1.30231384,1.057689672,3.231115725,0.411908327,0.621355596,0.400368338,0.402336829,0.762461216,1.289255273,1.332402261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA4,0.525905411,0.541250089,1.405072705,1.234643505,0.811811259,0.211120964,1.23447848,1.001038312,1.109895975,0.428706599,1.380346944,1.810395182,3.028395659,0.423980776,0.496664596,0.327113804,0.513041565,0.862082409,1.323986939,1.330068826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA5,0.496022831,0.491220453,1.986445719,1.78538228,1.138454994,0.213843182,0.999079462,1.296294309,1.224824134,0.68783596,1.384561239,1.224824134,2.599077701,0.487100814,0.543311911,0.367594083,0.366125155,0.618236504,0.882204948,1.207560189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA6,0.470338907,0.56243116,1.751189044,1.407354551,0.774840124,0.151182797,1.991516116,1.150995096,1.555407831,0.478076364,1.486722219,1.394708936,2.450161372,0.415831002,0.365461732,0.236295535,0.408788951,0.670785531,0.982773578,1.295139154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA7,0.469319233,0.503867992,1.469769519,1.338932763,0.693712981,0.295782137,1.206990332,1.180825821,1.055816329,0.40082533,1.35217455,1.707501489,2.99863033,0.421051175,0.565604944,0.245874876,0.403158294,0.721832463,1.359192506,1.609136936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA8,0.429127679,0.492155442,1.83446775,1.318140789,0.510992696,0.31086108,1.161077186,1.4052036,1.094155188,0.366871199,1.368773977,2.123563557,2.521450482,0.539492009,0.49241575,0.280576235,0.412546514,0.845241212,1.217698477,1.275189178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SA,SA9,0.548404893,0.510958694,1.929287638,1.951243256,0.836168963,0.247340544,1.191651941,1.093045846,1.553450041,0.34806117,1.582551554,1.553450041,2.575742655,0.409344174,0.633907943,0.371575093,0.335007558,0.553881619,0.847145509,0.927780871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP1,0.388393889,0.467603382,3.371300114,2.493575611,0.630265306,0.230765618,1.374288697,1.253747911,1.207848575,0.392576054,1.732361292,1.207848575,2.2994977,0.32200163,0.434513791,0.205785099,0.3062671,0.403814416,0.625241331,0.652303909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP10,0.463677047,0.359992835,3.756354345,2.585121173,0.816928503,0.196331629,0.852045103,1.000388731,1.326963305,0.318436088,1.28303716,1.788725416,2.018262104,0.39737895,0.426698149,0.213456391,0.297071832,0.472296525,0.657936646,0.768898067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP2,0.367319786,0.318825711,3.993475931,2.231185764,0.747250681,0.221996349,0.997245494,1.393668457,1.38869472,0.420637498,1.625361314,1.490032322,1.731663648,0.370626454,0.535570348,0.213472381,0.348778261,0.424707744,0.651598726,0.527888412,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP3,0.427893847,0.279842942,3.784465138,2.176189614,0.726599182,0.196441873,1.027857533,1.269898023,1.368872428,0.326778935,1.504762103,1.368872428,2.038692876,0.572764294,0.528236427,0.243109155,0.27577593,0.428223886,0.664699771,0.790023615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP4,0.367112402,0.504887361,2.939494761,2.030330225,0.77387578,0.291437381,1.047648605,1.199918999,1.52276922,0.40509413,1.659006764,1.586159321,1.95742514,0.435484384,0.47320074,0.220724681,0.373041574,0.566676468,0.667855992,0.977856072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP5,0.408850007,0.348277673,3.807130025,2.344869971,0.635732229,0.112491936,1.199195803,1.112479305,1.284443825,0.436385909,1.485266626,1.284443825,2.239866237,0.345493747,0.508564459,0.268896177,0.306478131,0.445815994,0.685735116,0.739583003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP6,0.37158545,0.465609424,4.208962672,2.882528984,0.578905038,0.292068916,0.705087693,1.073323659,1.251756914,0.385414614,1.607112795,1.251756914,1.642098441,0.295058979,0.660487839,0.16697606,0.339302423,0.415850264,0.589473008,0.816639914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP7,0.42945936,0.251804783,3.71190029,2.223240207,0.657173063,0.193752297,0.789951105,1.203332289,1.444190194,0.271426129,1.659446886,1.792226831,2.003900917,0.352339407,0.702305048,0.282159786,0.255240203,0.533199471,0.551138737,0.691812996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP8,0.536625943,0.36157706,3.737035662,3.126625311,0.798519058,0.122574552,0.588892542,1.177812047,1.356515752,0.287220883,1.3276259,1.459051886,2.09547759,0.27536304,0.485921623,0.245753151,0.224640618,0.421176342,0.589740149,0.781850892,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SP,SP9,0.429887262,0.334314782,4.199484862,3.064169313,0.704650295,0.206443646,0.69249458,1.05999599,1.211381379,0.348680853,1.404237444,1.286890693,1.994111037,0.334375129,0.433421702,0.251178155,0.213038916,0.385575104,0.724041661,0.721627196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
