Name,ADAM8,ADAM12,ADAM28,F2,FAP,HAT,HGFAC,KLK6,KLK8,MMP1,MMP3,MMP7,MMP10,MMP12,MMP13,MMP17,PCSK1,PRSS1,PRSS2,PRSS3,TMPRSS11E,PLAU
S1,0.9257558579999999,0.964526088,0.977495166,1.08315882,0.9566489109999999,2.5626113740000003,0.833576987,1.746357634,3.526315775,0.975184963,0.9673090679999999,1.003076761,1.016478952,0.9898992240000001,0.9863833409999999,0.9326202229999999,2.079181721,1.2425285529999999,1.562182846,2.757156282,1.142507276,1.028435843
S9,1.106143847,0.9895404590000001,0.993257732,1.1850261770000001,1.096031987,1.051522101,2.8493436,1.057386201,1.02203298,0.9833983940000001,0.998545592,1.0067842340000002,0.999899671,1.002567514,0.9893051629999999,1.007226556,1.0092548159999999,3.07717326,3.2918928160000003,1.24574485,1.024242467,0.989676716
S10,0.9543782540000001,1.018062339,0.9949211379999999,1.0021621920000001,0.976158069,2.450029793,1.9347183159999999,1.087306955,1.078438677,0.9943121690000001,0.9958819109999999,1.008335676,1.007162278,1.007361984,0.983993204,0.9394162859999999,0.98788843,2.5729884530000002,2.6140055980000003,1.8424654569999999,1.07542015,1.012944512
S11,0.946974456,0.987180277,1.4163923530000002,1.015662727,4.315418858999999,1.346902831,1.007790437,1.024471187,1.009488178,2.15452257,1.2808130009999998,2.089050234,1.9371411719999998,2.297158425,4.055239256,1.4015864619999998,0.997888639,1.831363383,1.7015428590000001,2.459950996,0.965145355,1.03002161
S12,1.027010606,1.019139278,0.99800297,1.665518429,0.9874094640000001,1.488556592,0.950379009,0.9965577440000001,0.9868750009999999,1.002208263,0.994831285,0.9793424279999999,0.99579599,0.973716219,1.026257748,0.9136752779999999,0.994919034,1.6859496790000001,1.484546275,2.120949298,0.9968904359999999,1.003716012
S13,0.981400805,0.989806678,0.986431776,1.945318343,1.010644303,1.606862981,0.951611248,1.074492573,0.99637161,0.98560539,0.9761319940000001,0.990041132,0.9879532209999999,0.97682524,0.986403493,0.9689256140000001,0.995469332,1.750685355,1.51319468,2.5094128959999997,1.026864625,0.994253121
S14,0.9788184590000001,1.0699763340000001,1.092760702,1.090985423,1.010026143,3.527453048,0.956248616,2.0201527230000003,2.495110339,0.996335842,0.993815708,0.9764783429999999,0.9852717879999999,0.972902852,0.99267508,0.983617788,4.066276642,1.230357845,1.331004213,3.164826669,1.399089152,1.093802328
S15,0.943040015,0.9982290079999999,0.9459673359999999,1.054762136,0.98657733,3.6556944739999997,0.99157487,1.156362237,1.058705974,0.991804934,0.987864173,0.9774709079999999,1.000054677,0.9806291490000001,0.998791049,0.9741888340000001,0.994652812,1.365066707,1.8788541269999999,2.3736746369999997,1.047503848,1.006055116
S2,0.783893437,1.187190207,0.9722264690000001,1.13017558,0.96961507,3.4335192360000004,0.874434464,3.6401169589999998,3.787804636,0.956796345,0.948756822,0.9771859820000001,0.9687308020000001,0.9406499859999999,0.984668797,0.908765154,4.766208465,1.5507048280000002,1.55254935,3.744850772,1.698300248,1.112037157
S16,1.059671142,0.99933715,0.974032351,1.083054795,1.037096383,3.1113268780000003,2.596308631,1.4959663109999999,1.3908482130000002,0.995341915,0.9895351609999999,0.9738940140000001,0.998380742,0.9549560220000001,0.915577674,0.879329942,0.959782317,1.2867076370000001,1.315675305,2.577183045,1.229253708,1.76674964
S17,0.8863556570000001,1.007292855,1.020765313,1.18555631,1.055871083,3.37409375,0.9268398720000001,1.095839063,1.015732523,0.980276252,0.979277108,1.028865924,0.99605415,0.999371059,0.9915952379999999,0.972538825,1.036347106,2.130261514,1.7541628669999998,3.785152896,1.013267111,1.004618857
S18,0.884695955,0.992219285,1.010969693,1.026610577,0.9872460279999999,3.3275136689999996,0.9897161459999999,1.75639927,2.6179571680000002,0.967888089,0.96904967,0.976890492,0.987485981,1.00058949,1.010055816,0.934726775,1.070906191,1.685669602,1.646886962,2.568791724,1.220788629,1.057021681
S19,0.963620118,0.9689979040000001,0.994509195,0.987873199,0.9632843990000001,1.4926415990000002,0.9931851999999999,1.14605616,1.711770715,0.997557826,0.990843555,1.018178569,0.996291444,0.973236249,1.005145854,0.925783682,1.023685078,2.100684356,2.36262065,1.354273969,1.059848518,0.9880303029999999
S20,1.033487367,0.9973021459999999,1.001202919,1.025464044,1.0004764590000002,1.40838054,2.2566044130000003,1.341513108,3.5781122219999997,1.003931016,0.9600524420000001,0.982169217,0.984338446,0.971032082,0.975021923,0.974349301,1.278977195,2.028541655,2.033772474,1.716427567,1.064417569,1.030316303
S21,1.006795202,1.002209945,0.982973509,0.9970119059999999,0.9882945940000001,1.5049597,3.2311892230000003,1.229005519,1.346282957,1.006221421,0.949965759,0.99652028,1.00020022,0.99080202,1.111664687,0.967197037,1.010248488,2.764629312,2.679080654,1.221662986,1.013780688,0.9978292540000001
S22,0.904320584,0.9536982390000001,1.087042023,0.9743369470000001,1.101877668,0.9971385890000001,0.983544952,1.068967031,1.047656722,1.298699862,1.4441642469999998,1.42430715,1.260358221,3.035240707,3.290035314,1.283206639,0.993733368,1.09473361,1.036298335,1.015797651,1.0145976890000001,1.016134248
S23,0.8990029159999999,1.003490963,1.0374780129999999,1.046927776,1.001598645,4.072045621,0.941671025,3.70384301,1.118570386,1.008809201,1.5201122230000002,1.044431283,1.3854295680000002,3.058090121,4.716488013999999,0.951931462,1.01317383,2.056883295,1.880592807,3.890611592,1.062115839,1.009200198
S24,0.927223252,0.999811317,1.517639644,0.965379082,1.0269540529999999,0.989557213,0.99051427,1.075190284,1.017328595,2.7103493710000004,1.940131049,2.523311877,2.8145260739999998,3.7338150960000003,3.698457677,1.33182046,0.992680516,1.086513107,1.040152851,1.0124283840000001,0.994449888,1.004980807
