Name,ADAM12,ADAMTS1,CTSD,CTSK,CTSZ,FAP,FURIN,GZMA,GZMK,HTRA1,KLK11,MMP1,MMP12,MMP13,MMP14,MMP15,MMP19,MMP2,MMP7,MMP9,PCSK1,PCSK2,PLAT,PLAU,PRSS8,F2
S26,1.348144585,0.936564242,1.228402421,45.75825742,0.9951112040000001,1.27753713,109.0735375,1.201871385,1.272224493,0.966866236,24.8100615,1.270851854,1.8790606269999999,1.11527792,1.539662435,1.208369125,2.054891046,1.08530067,1.222181033,1.185507824,114.06268109999999,2.327725831,2.481877253,31.06724185,1.778103767,0.8718449970000001
S107,1.391272047,0.96225192,3.118130069,8.204646305,0.997936418,1.5662459030000002,1.5467573780000001,3.5918127660000003,5.514346816000001,1.021924351,58.45860245,1.199905662,2.5415451669999998,2.1873653319999997,1.38003334,1.1230157570000001,2.049148176,0.937739262,1.0045414879999999,1.186697266,40.84415546,1.228980716,6.605907277999999,27.43478461,2.018193952,1.827016414
S27,1.8148638240000001,1.400271799,3.323143659,46.80467473,1.401710997,2.684299865,1.252174062,39.99239511,1.7581836180000001,1.121759797,40.20574999,1.637540526,4.129796144,2.312816418,2.095904445,1.755644064,2.542037334,1.157968337,5.062645474,1.842482288,33.08582046,2.10402788,1.877045771,1.892970035,3.084061427,12.35403064
S17,1.244923236,0.9221567209999999,1.175814182,9.239858153,1.1074239909999999,0.992913477,0.9290959809999999,1.931765903,1.040955137,1.104706096,0.9915134259999999,1.0711788340000001,1.43330656,1.04920189,1.1172949509999999,1.038242003,0.972327363,0.881742765,0.99331862,1.0250249329999999,1.300844046,1.262444264,1.695594593,1.247021258,1.130755967,1.757231056
S75,1.2799939759999999,1.125583775,1.026089655,4.223074646000001,0.896257684,2.250964005,0.936651329,0.96906171,0.9561064859999999,0.866306613,3.4749460589999996,1.434161175,1.5250353859999999,1.060356062,1.3720020119999998,0.884101678,1.6400354019999999,1.0051030859999999,1.5066138009999999,1.095237344,1.324362636,1.255639098,0.8991289000000001,0.944884663,0.9694519070000001,0.762945381
S108,2.298003429,1.145463216,1.821421872,8.579481835,1.121062645,3.233039013,0.980381057,1.060196728,1.1448170640000002,0.961573012,38.81196933,2.6350655990000003,5.844739051,7.18013498,2.397511499,2.291801586,2.4252844159999998,1.178563009,10.04419798,1.951126065,0.907129262,1.040916881,1.008281281,1.067504651,1.08068913,0.738686948
S109,1.0484068000000002,0.766910449,1.6021160140000001,3.260217092,1.2340831970000001,0.893540676,0.9508132429999999,2.030263703,1.077988344,0.971524194,2.510332633,1.0887317570000001,1.679742795,1.964479273,1.189594304,1.112673898,1.115426507,0.894690737,0.906484483,0.9392125720000001,0.979382468,1.06025763,0.9522079529999999,0.997843264,0.976927853,0.9870593679999999
S110,3.12389384,1.257072246,6.8284966339999995,57.41793797,1.036916913,2.271870454,1.00292929,11.95331043,8.127944044,1.16494271,9.362057497,26.11611383,54.421290500000005,202.3707108,58.75467261,17.64030948,3.3803503010000004,5.4241933929999995,14.59482166,16.26375028,1.006859676,0.927464803,2.029664987,5.150438268,1.213839759,0.932441292
S111,2.4055266680000003,1.219411119,2.557425594,19.6100885,1.119733558,1.7475787809999999,0.9672324520000001,3.059568325,1.2297836229999999,0.967023898,18.74709732,9.985804493,24.40053851,56.46764154,9.455775194,6.1224128570000005,4.017209731,2.345257413,8.226990801,6.124258648,2.071116052,1.053729265,1.213826906,1.24599538,1.021894848,0.945155373
S58,1.216213637,0.817157208,2.814296113,4.890173353,1.078224469,0.97906535,1.071656959,13.06508241,1.087971405,1.010032181,1.153535349,1.232958759,1.2384064479999999,0.817865183,1.203262547,1.031461331,1.138730732,0.8556255779999999,0.8758697809999999,1.10380329,0.9120877470000001,1.051243156,1.2957528999999999,2.188179089,1.193317483,0.874994796
S112,2.858639998,1.2491361970000001,4.427332038,48.07903141,0.895095286,32.33488427,0.988221735,1.221666539,0.9654699959999999,3.548916237,22.46659789,62.221966099999996,64.54457603,142.19733369999997,91.10460259,33.50046011,4.229581801,6.70526378,100.5273269,19.97340758,0.932576451,1.1436477859999998,0.9689888409999999,1.212451893,1.089676136,0.717294084
S16,1.041586753,0.842027793,1.015187441,1.3870615,1.071667891,0.9213944009999999,0.967776125,2.604495799,1.106236446,0.984113883,1.350188767,1.0030729170000001,1.192380728,0.831033476,1.0598132059999998,1.090816998,1.116480884,0.816210311,0.752767675,0.8898651609999999,1.09957561,1.076992417,1.7525675109999999,52.01009095,1.085241669,1.602911486
S18,2.227939445,1.260588874,1.313025678,6.4252335789999995,1.1595792120000001,1.9196202130000002,0.961826562,0.914218402,1.016527016,1.16327015,19.40668483,1.57940099,2.690877625,1.550582743,1.986888681,1.184994715,4.515165467,1.218469185,12.08003371,2.4729416,6.34941798,1.269081587,1.731318084,14.48356081,1.362201213,0.782745411
S113,1.539437055,1.050500205,1.2740118329999999,2.597959426,1.189711052,1.282605062,0.9216653509999999,1.090652088,0.9995533659999999,1.0959309879999999,8.130687012000001,1.498646029,1.55645996,1.096782911,1.65106733,0.92243315,1.363356078,0.985276595,1.026171115,1.200446602,1.1633537040000002,1.248207738,0.9984115240000001,1.207542497,1.121532189,0.628606635
S22,2.994101723,1.279932687,24.79164784,22.64151933,1.2466618390000002,2.140718938,0.980668235,1.021716801,1.094750013,1.936534044,21.12985635,40.84424813,37.32517685,92.07026665,11.42399631,11.53589362,2.106922591,3.723825455,41.94152721,45.43301833,0.905043047,1.1737979029999999,0.973007745,1.006762795,1.050239258,1.104598513
S19,5.678692383,1.88489169,18.17791113,46.14910965,1.179407745,8.730243011,0.974085808,1.115953773,1.226827629,2.931832964,16.62361691,9.871266815,5.154377221,23.08887034,5.980334629,2.1078779930000002,2.9906515760000003,2.681141118,178.3077108,4.441866271,0.8794191140000001,0.970374498,1.0608126359999999,1.2166317359999999,1.107167561,0.799171278
S59,1.131527288,0.868935268,0.8754682429999999,79.90715433,1.083389888,28.07863963,1.009999743,0.983517007,0.941721035,0.9582092959999999,1.00368869,1.00592069,1.103714866,0.774225,1.022506674,1.008208016,0.926131092,0.966427631,0.877816667,0.906389111,0.8638855740000001,1.119394207,0.899345202,0.9529278259999999,0.942710774,0.675862147
S103,3.2620554989999997,1.39448565,1.046301736,5.159499375,1.142705668,2.318044209,0.955429689,1.0143684259999999,1.0698323809999999,0.9892107590000001,2.317900959,5.518089343,13.59983546,26.59553439,5.916617636000001,1.5771170509999999,1.171706587,1.524236022,2.6382107130000003,3.7483324760000003,0.9410742740000001,1.116676962,1.185702688,1.26255705,0.991384534,0.800049206
S104,1.300847415,1.008733662,0.985362725,12.30068105,1.208734622,1.01169037,0.958682048,0.983154778,1.089299099,0.9439964390000001,5.990076372000001,1.274279593,1.44088229,0.972456037,1.662991611,1.112390224,1.03653436,1.000955418,1.2972463109999999,1.146378283,1.052640223,1.599224961,0.9297505070000001,0.979560598,0.9528021790000001,0.717487743
S105,1.073272218,0.79690545,1.4793130369999998,1.001718188,1.160789653,0.999017713,0.957228365,0.9910168340000001,1.2544753370000001,0.966302178,1.335549907,1.090309452,1.20839092,1.47974839,1.078426925,1.118384194,1.154494417,0.875327999,0.794667145,1.023553526,1.050769203,1.004261421,0.932458387,0.989904041,0.973510523,0.929357367
S106,1.122091075,0.811943634,1.023403824,2.3602679109999998,0.9577039270000001,1.03964199,0.97827506,2.331647653,1.154839605,0.965749877,1.105376704,1.1622681259999998,1.228866204,1.128154857,1.110629802,0.987378315,1.664296178,0.9366063290000001,1.019156648,0.959939662,1.044901659,1.012943962,1.0008302409999998,1.058501,1.03194566,0.853363282
S117,3.2354603969999998,1.274657954,4.668370697,16.80900248,1.041108393,7.637235174,0.973161499,0.9958449220000001,1.005235879,0.972572502,19.52201394,13.27619251,25.35926544,79.54504843,6.602858942,3.165103016,1.557686563,4.378404784,2.862846184,17.14961177,1.018236482,1.1432282790000001,1.13730556,0.983938077,0.948257538,0.774990218
S30,1.920156896,1.160880182,1.057469835,27.575856899999994,1.066830381,13.73493108,0.965226312,7.018604826,1.122541893,0.950338867,1.285315783,8.032401957000001,6.078830417000001,65.84299225,21.95722446,5.848467512999999,1.160970387,3.535962955,11.03971223,20.14735247,1.034036379,0.997813533,0.96946567,1.193211629,0.989477534,0.7307581
S76,2.260143303,1.10121111,1.124680767,33.77998389,1.237018425,68.80476621,0.942884495,1.025511501,1.150620136,0.973696583,23.71084519,129.8169382,86.02263945,323.337736,129.7417511,32.5117831,2.8964358989999996,10.67799321,73.14860989,97.4379218,0.93854411,0.969412135,0.940030257,0.979688468,0.954539101,0.739970659
S78,1.8118728219999998,0.9762648359999999,2.197071346,2.3660746009999998,1.281306715,1.3522035769999998,0.9605003609999999,0.9940990759999999,1.094460598,0.9789440420000001,1.8075069190000002,17.02644207,25.35913438,75.76620923,1.943540899,1.6517273559999999,2.70162102,7.829969752,10.00714374,17.0397352,0.895300405,0.914476636,0.88119045,1.00113216,0.97072318,0.845827303
S77,3.806628303,1.419805976,2.8856313289999997,1.558774464,0.930990146,2.0492177590000002,0.9776165720000001,1.0972871579999999,1.125432534,1.031143135,4.6769751280000005,2.307219583,21.18858674,79.47065334,1.639159082,1.341951644,1.7028317780000002,3.267811516,4.462228639,5.234448311,1.143845599,1.202953628,0.973242815,1.127703465,1.0221051540000001,1.008197727
S118,3.065269075,1.5620032659999998,4.466848789,65.24523111,1.208372657,11.56605841,0.995052039,69.90490873,1.369478196,1.1716365579999999,7.856159901,2.082941832,18.60885247,192.68304819999997,46.58912852,4.36326627,1.116287765,3.778324824,5.23232837,28.54266492,1.013295393,1.261657625,0.962928653,1.13188066,1.0870296,0.7707054790000001
S7,5.243674672,1.867727996,13.03732895,34.24196335,1.2427111579999999,3.192136301,0.953860808,6.7369549520000005,11.70483341,1.23984483,51.02227513,15.95422544,35.60211105,201.4974446,19.73259839,6.510634776,1.4479280509999999,3.536864132,17.76339975,16.71164427,1.132126307,0.99736585,2.433316994,1.0795228159999999,1.018562633,0.729584275
